"row_id","source","lat_deg","lon_deg","report_date","status_id","water_source","water_source_clean","water_tech_clean","water_tech","_facility_type","country_name","adm1","adm2","_adm3","install_year","installer","_rehab_year","_rehabilitator","management","pay","status","fecal_coliform_value","fecal_coliform_presence","subjective_quality","activity_id","scheme_id","notes","photo_lnk","orig_lnk","data_lnk","public_data_source","wpdx_id","converted","country_id","lat_lon_deg","created_timestamp","updated","geocoded_column","count"
"208741","WaterAid UK","-2.274193","29.476524","2020-02-19T00:00:00.000","Yes","Rainwater","Rainwater Harvesting",,,"Improved","Rwanda",,,,"2019","WaterAid",,,,,,,,,"72633814",,"EP Mubuga",,,"https://catalog.waterpointdata.org/datasets/water-points-5fa4d23f","https://catalog.waterpointdata.org/datafiles/water-points-5fa4d23f.xls",,"#install_year","RW","(-2.274193°, 29.476524°)","2020-11-06T04:34:07.000","2020-11-06T04:34:07.000","POINT (29.476524 -2.274193)","1"
"238719","Water For People","-1.9679133333333336","30.073558333333335","2016-02-15T00:00:00.000","Yes",,"Piped Water","Tapstand","Private Tap with Piped Supply","Improved","Rwanda","Kicukiro","Kigarama",,"2010",,,,,,,,,,"635830072",,,,,"https://catalog.waterpointdata.org/datasets/water-for-people-2018-5f02e309","https://catalog.waterpointdata.org/datafiles/water-for-people-2018-5f02e309.xlsx",,,"RW","(-1.9679133333333336°, 30.073558333333335°)","2020-07-06T08:38:33.000","2020-07-06T08:38:33.000","POINT (30.073558333333335 -1.9679133333333336)","1"
"238994","Water For People","-1.72176","29.915694999999996","2016-02-19T00:00:00.000","Yes",,,,"Gravity Fed System with Pump",,"Rwanda","Rulindo","Bushoki",,"1938",,,,,,,,,,"647180731",,,"https://waterforpeople.s3.amazonaws.com/images/5086e56d-f16a-41e8-84a3-a73cf7f2b0e6.jpg",,"https://catalog.waterpointdata.org/datasets/water-for-people-2018-5f02e309","https://catalog.waterpointdata.org/datafiles/water-for-people-2018-5f02e309.xlsx",,,"RW","(-1.72176°, 29.915694999999996°)","2020-07-06T08:38:33.000","2020-07-06T08:38:33.000","POINT (29.915694999999996 -1.72176)","1"
"239142","Water For People","-1.6197400000000002","29.904006666666668","2016-02-15T00:00:00.000","Unknown",,"Unprotected Spring",,"Unprotected Spring","Unimproved","Rwanda","Rulindo","Cyungo",,,,,,,,,,,,"642470050",,,,,"https://catalog.waterpointdata.org/datasets/water-for-people-2018-5f02e309","https://catalog.waterpointdata.org/datafiles/water-for-people-2018-5f02e309.xlsx",,,"RW","(-1.6197400000000002°, 29.904006666666668°)","2020-07-06T08:38:33.000","2020-07-06T08:38:33.000","POINT (29.904006666666668 -1.6197400000000002)","1"
"239244","Water For People","-1.8137933333333331","30.089985000000002","2016-02-17T00:00:00.000","No",,,,"Gravity Fed System",,"Rwanda","Rulindo","Masoro",,"2000",,,,,,,,,,"637350282",,,,,"https://catalog.waterpointdata.org/datasets/water-for-people-2018-5f02e309","https://catalog.waterpointdata.org/datafiles/water-for-people-2018-5f02e309.xlsx",,,"RW","(-1.8137933333333331°, 30.089985000000002°)","2020-07-06T08:38:33.000","2020-07-06T08:38:33.000","POINT (30.089985000000002 -1.8137933333333331)","1"
"14598","World Vision","-2.292667","29.99485","2012-10-23T00:00:00.000","Yes","Non-Mechanized Borehole","Borehole","Mechanized Pump","None","Improved","Rwanda",,"Ngenda",,"2012","World Vision",,,,,,,,,"{EDB65EF7-D34B-485C-98DC-45B277C3ACC0}",,,,,"https://catalog.waterpointdata.org/datasets/world-vision-boreholes-for-wpdx-reingestion-5f7645b9","https://catalog.waterpointdata.org/datafiles/world-vision-boreholes-for-wpdx-reingestion-5f7645b9.xls",,"#country_id, #install_year","RW","(-2.292667°, 29.99485°)","2020-10-01T21:10:17.000","2020-10-01T21:10:17.000","POINT (29.99485 -2.292667)","1"
"14658","World Vision","-2.145696","30.244337","2012-10-23T00:00:00.000","Yes","Non-Mechanized Borehole","Borehole","Mechanized Pump","None","Improved","Rwanda",,"Gashora",,"2012","World Vision",,,,,,,,,"{BA3B44F2-2321-4EB0-936C-0E3B4564B59D}",,,,,"https://catalog.waterpointdata.org/datasets/world-vision-boreholes-for-wpdx-reingestion-5f7645b9","https://catalog.waterpointdata.org/datafiles/world-vision-boreholes-for-wpdx-reingestion-5f7645b9.xls",,"#country_id, #install_year","RW","(-2.145696°, 30.244337°)","2020-10-01T21:10:17.000","2020-10-01T21:10:17.000","POINT (30.244337 -2.145696)","1"
"16266","World Vision","-1.609688","30.394658","2013-08-14T00:00:00.000","Unknown","Non-Mechanized Borehole","Borehole","Mechanized Pump","None","Improved","Rwanda",,"Kahi",,"2013","World Vision",,,,,,,,,"{374772AA-34F7-4496-80E7-05C924FAC038}",,,,,"https://catalog.waterpointdata.org/datasets/world-vision-boreholes-for-wpdx-reingestion-5f7645b9","https://catalog.waterpointdata.org/datafiles/world-vision-boreholes-for-wpdx-reingestion-5f7645b9.xls",,"#country_id, #install_year","RW","(-1.609688°, 30.394658°)","2020-10-01T21:10:17.000","2020-10-01T21:10:17.000","POINT (30.394658 -1.609688)","1"
"14594","World Vision","-2.135597","30.23495","2012-10-23T00:00:00.000","Yes","Non-Mechanized Borehole","Borehole","Mechanized Pump","None","Improved","Rwanda",,"Gashora",,"2012","World Vision",,,,,,,,,"{927608AC-82A1-414F-A7B8-16B30D547AA1}",,,,,"https://catalog.waterpointdata.org/datasets/world-vision-boreholes-for-wpdx-reingestion-5f7645b9","https://catalog.waterpointdata.org/datafiles/world-vision-boreholes-for-wpdx-reingestion-5f7645b9.xls",,"#country_id, #install_year","RW","(-2.135597°, 30.23495°)","2020-10-01T21:10:17.000","2020-10-01T21:10:17.000","POINT (30.23495 -2.135597)","1"
"14599","World Vision","-2.33544","30.056553","2012-10-23T00:00:00.000","Yes","Non-Mechanized Borehole","Borehole","Mechanized Pump","None","Improved","Rwanda",,"Ngenda",,"2012","World Vision",,,,,,,,,"{07A0E3E1-DB0B-4A53-AF29-8FDD9ECD89FB}",,,,,"https://catalog.waterpointdata.org/datasets/world-vision-boreholes-for-wpdx-reingestion-5f7645b9","https://catalog.waterpointdata.org/datafiles/world-vision-boreholes-for-wpdx-reingestion-5f7645b9.xls",,"#country_id, #install_year","RW","(-2.33544°, 30.056553°)","2020-10-01T21:10:17.000","2020-10-01T21:10:17.000","POINT (30.056553 -2.33544)","1"
